Country Code,Year,Indicator,Value
BFA,2014,Limited (more than 30 mins),0.1299271959203547
BFA,2014,Surface water,0.00219294840465288
BFA,2014,Unimproved,0.06603407889882314
BFA,2015,At least basic,0.8031161147757389
BFA,2015,Limited (more than 30 mins),0.1306285309332314
BFA,2015,Surface water,0.0021898103400555292
BFA,2015,Unimproved,0.06406554395097414
BFA,2016,At least basic,0.8043846520091794
BFA,2016,Limited (more than 30 mins),0.1313316667122372
BFA,2016,Surface water,0.002186672275458179
BFA,2016,Unimproved,0.06209700900312517
BFA,2017,At least basic,0.8056513884764914
BFA,2017,Limited (more than 30 mins),0.1320366032573716
BFA,2017,Surface water,0.0021835342108608292
BFA,2017,Unimproved,0.06012847405527619
BFA,2018,At least basic,0.8069163241776741
BFA,2018,Limited (more than 30 mins),0.1327433405686352
BFA,2018,Surface water,0.002180396146263479
BFA,2018,Unimproved,0.0581599391074272
BFA,2019,At least basic,0.808179459112728
BFA,2019,Limited (more than 30 mins),0.1334518786460276
BFA,2019,Surface water,0.002177258081666129
BFA,2019,Unimproved,0.056191404159578226
BFA,2020,At least basic,0.8094407932816532
BFA,2020,Limited (more than 30 mins),0.13416221748954882
BFA,2020,Surface water,0.002174120017068778
BFA,2020,Unimproved,0.054222869211729245
BFA,2021,At least basic,0.8107003266844492
BFA,2021,Limited (more than 30 mins),0.1348743570991991
BFA,2021,Surface water,0.002170981952471428
BFA,2021,Unimproved,0.05225433426388026
BFA,2022,At least basic,0.8119580593211164
BFA,2022,Limited (more than 30 mins),0.1355882974749782
BFA,2022,Surface water,0.002167843887874078
BFA,2022,Unimproved,0.05028579931603128
BFA,2023,At least basic,0.8132139911916546
BFA,2023,Limited (more than 30 mins),0.13630403861688628
BFA,2023,Surface water,0.002164705823276728
BFA,2023,Unimproved,0.0483172643681823
BFA,2024,At least basic,0.8149026290367936
BFA,2024,Limited (more than 30 mins),0.1365870737841938
BFA,2024,Surface water,0.002161567758679378
BFA,2024,Unimproved,0.04634872942033332
BWA,2000,At least basic,0.9432776621442487
BWA,2000,Limited (more than 30 mins),0.05519165631797776
BWA,2000,Surface water,0.001430688268836278
BWA,2000,Unimproved,9.999326893726801e-05
BWA,2001,At least basic,0.9422407013000847
BWA,2001,Limited (more than 30 mins),0.05513098321097743
