Year,ISO3,population
2060,ITA,47812930.0
2061,ITA,47355989.0
2062,ITA,46898236.0
2063,ITA,46443197.0
2064,ITA,46002030.0
2065,ITA,45567047.0
2066,ITA,45138316.0
2067,ITA,44724302.0
2068,ITA,44324297.0
2069,ITA,43928035.0
2070,ITA,43541380.0
2071,ITA,43165283.0
2072,ITA,42806721.0
2073,ITA,42456284.0
2074,ITA,42121404.0
2075,ITA,41794897.0
2076,ITA,41488536.0
2077,ITA,41195336.0
2078,ITA,40911730.0
2079,ITA,40632742.0
2080,ITA,40358569.0
2081,ITA,40093170.0
2082,ITA,39833293.0
2083,ITA,39576517.0
2084,ITA,39328101.0
2085,ITA,39078327.0
2086,ITA,38832484.0
2087,ITA,38593706.0
2088,ITA,38351356.0
2089,ITA,38111510.0
2090,ITA,37868355.0
2091,ITA,37628835.0
2092,ITA,37393269.0
2093,ITA,37151743.0
2094,ITA,36919070.0
2095,ITA,36684557.0
2096,ITA,36446338.0
2097,ITA,36208249.0
2098,ITA,35968296.0
2099,ITA,35735052.0
2100,ITA,35496387.0
2101,ITA,35257256.0
1950,JAM,1385323.0
1951,JAM,1429088.0
1952,JAM,1465851.0
1953,JAM,1496836.0
1954,JAM,1522637.0
1955,JAM,1544258.0
1956,JAM,1563164.0
1957,JAM,1580781.0
1958,JAM,1598572.0
1959,JAM,1617957.0
1960,JAM,1638512.0
1961,JAM,1661499.0
1962,JAM,1685022.0
1963,JAM,1708842.0
1964,JAM,1733355.0
1965,JAM,1757781.0
1966,JAM,1780603.0
1967,JAM,1802346.0
1968,JAM,1823384.0
1969,JAM,1844147.0
1970,JAM,1866107.0
1971,JAM,1890285.0
1972,JAM,1917172.0
1973,JAM,1945911.0
1974,JAM,1976528.0
1975,JAM,2005283.0
1976,JAM,2032679.0
1977,JAM,2058476.9999999998
1978,JAM,2082838.0000000002
1979,JAM,2106834.0
1980,JAM,2132138.0
1981,JAM,2159178.0
1982,JAM,2188458.0
1983,JAM,2219319.0
1984,JAM,2250345.0
1985,JAM,2278779.0
1986,JAM,2302533.0
1987,JAM,2321717.0
1988,JAM,2337909.0
1989,JAM,2353645.0
1990,JAM,2370187.0
1991,JAM,2389567.0
1992,JAM,2412170.0
1993,JAM,2437232.0
1994,JAM,2462599.0
1995,JAM,2487842.0
1996,JAM,2512459.0
1997,JAM,2536466.0
1998,JAM,2559230.0
1999,JAM,2580242.0
2000,JAM,2599348.0
2001,JAM,2616304.0
2002,JAM,2632502.0
2003,JAM,2648641.0
2004,JAM,2664605.0
2005,JAM,2679845.0
2006,JAM,2694286.0
2007,JAM,2707649.0
2008,JAM,2719952.0
2009,JAM,2731317.0
2010,JAM,2742673.0
2011,JAM,2754462.0
2012,JAM,2766525.0
2013,JAM,2778335.0
2014,JAM,2789039.0
2015,JAM,2798459.0
2016,JAM,2806609.0
2017,JAM,2813221.0
2018,JAM,2818306.0
2019,JAM,2821889.0
2020,JAM,2824653.0
2021,JAM,2836825.0
2022,JAM,2838538.0
2023,JAM,2839750.0
2024,JAM,2839822.0
2025,JAM,2838528.0
2026,JAM,2835627.0
2027,JAM,2831180.0
2028,JAM,2825879.0
2029,JAM,2819856.0
2030,JAM,2812938.0
2031,JAM,2804969.0
2032,JAM,2796257.0
2033,JAM,2786016.0
2034,JAM,2774930.0
2035,JAM,2762516.0
2036,JAM,2749352.0
2037,JAM,2734804.0
2038,JAM,2718994.0
2039,JAM,2702643.0
2040,JAM,2685163.0
2041,JAM,2667037.0
2042,JAM,2648094.0
2043,JAM,2628085.0
2044,JAM,2607083.0
2045,JAM,2585253.0
2046,JAM,2562908.0
2047,JAM,2539798.0
2048,JAM,2516241.0
2049,JAM,2492157.0
2050,JAM,2467334.0
2051,JAM,2442546.0
2052,JAM,2417292.0
2053,JAM,2391436.0
2054,JAM,2364784.0
2055,JAM,2337363.0
2056,JAM,2309463.0
2057,JAM,2281099.0
2058,JAM,2252800.0
2059,JAM,2223817.0
2060,JAM,2194558.0
2061,JAM,2164806.0
2062,JAM,2134995.0
2063,JAM,2104745.0
2064,JAM,2074460.9999999998
2065,JAM,2043742.0
2066,JAM,2012494.0
2067,JAM,1981699.0
2068,JAM,1950602.0
2069,JAM,1919197.0
2070,JAM,1887749.0
2071,JAM,1856008.0
2072,JAM,1824210.0
2073,JAM,1792227.0
2074,JAM,1760438.0
