ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3
BWA,BWA_1976,Bobonong,24.0,2015,2015,13592.0,4.736695,24745568.0
BWA,BWA_2067,Tlhalogang,14.0,2015,2015,8945.0,3.480139,20988916.0
BWA,BWA_3278,Francistown,34.0,2015,2015,73548.0,8.282436,52701224.0
BWA,BWA_3310,Gaborone,181.0,2015,2015,264401.0,47.486736,303841888.0
BWA,BWA_3483,Ghanzi,9.0,2015,2015,11074.0,2.182948,11883607.0
BWA,BWA_4239,Jwaneng,9.0,2015,2015,19073.0,2.295156,13879999.0
BWA,BWA_4527,Kanye,44.0,2015,2015,27246.0,9.169655,56471320.0
BWA,BWA_4991,Kopong,12.0,2015,2015,11658.0,2.448504,12470392.0
BWA,BWA_5266,Letlhakane,23.0,2015,2015,21644.0,4.610633,25028584.0
BWA,BWA_5295,Lobatse,15.0,2015,2015,20192.0,3.059975,16661792.0
BWA,BWA_5503,Mahalapye,49.0,2015,2015,35515.0,12.269949,68959984.0
BWA,BWA_5814,Maun,55.0,2015,2015,53426.0,12.90162,77544800.0
BWA,BWA_6164,Mmadinare,17.0,2015,2015,9887.0,3.774708,23044870.0
BWA,BWA_6177,Mochudi,62.0,2015,2015,41544.0,13.93239,78719056.0
BWA,BWA_6207,Molepolole,69.0,2015,2015,69357.0,14.356688,79731336.0
