ISO3_Code,Year,Rural_Pop,Urban_Pop,Total_Pop,Urbanization_Rate
ERI,2037.0,2962972.01316843,1638961.9868315698,4601934.0,0.3561463477815131
ERI,2038.0,3011199.19846663,1681144.8015333698,4692344.0,0.3582739887641166
ERI,2039.0,3056400.81393126,1724074.18606874,4780475.0,0.3606491376000795
ERI,2040.0,3099962.9331353,1768713.0668647,4868676.0,0.3632842002352796
ERI,2041.0,3140196.19823008,1814291.8017699202,4954488.0,0.3661915826155841
ERI,2042.0,3177865.39813799,1861435.6018620098,5039301.0,0.36938369068686505
ERI,2043.0,3213565.29332948,1910699.7066705201,5124265.0,0.37287293039499714
ERI,2044.0,3246212.71369409,1961657.28630591,5207870.0,0.37667170768585045
ERI,2045.0,3277322.01976488,2015445.98023512,5292768.0,0.38079242850529627
ERI,2046.0,3304889.7743754303,2071078.2256245702,5375968.0,0.38524749879920606
ERI,2047.0,3328196.4707430103,2128304.52925699,5456501.0,0.3900493245134547
ERI,2048.0,3349048.3007156397,2188493.69928436,5537542.0,0.39521031159390935
ERI,2049.0,3366240.6572938496,2251115.34270615,5617356.0,0.4007428659864445
ERI,2050.0,3379704.88096163,2316357.11903837,5696062.0,0.406659393636932
ETH,1950.0,16620789.5170889,1049622.48291109,17670411.99999999,0.05940000057220458
ETH,1951.0,16902286.0811277,1086774.9188723401,17989061.00000004,0.060413098764428984
ETH,1952.0,17199781.2482946,1126391.7517053902,18326172.99999999,0.06146355552277013
ETH,1953.0,17506662.4791949,1168113.52080511,18674776.000000007,0.06255033638985065
ETH,1954.0,17825837.4887457,1212197.5112542901,19038034.999999993,0.06367240690829125
ETH,1955.0,18160810.9231142,1258959.0768857598,19419769.99999996,0.06482873262071397
ETH,1956.0,18510476.3192189,1308408.68078109,19818884.99999999,0.06601827906974034
ETH,1957.0,18817256.5516304,1356482.44836963,20173739.00000003,0.06724001179799283
ETH,1958.0,19077530.9623156,1402754.0376843899,20480284.99999999,0.06849289634809236
ETH,1959.0,19421316.4696029,1456788.53039715,20878105.000000052,0.06977589826266063
ETH,1960.0,19857067.009617303,1519625.9903827,21376693.000000004,0.0710879830843199
ETH,1961.0,20319484.2954444,1586617.70455565,21906102.00000005,0.0724281163556915
ETH,1962.0,20807306.104587004,1657819.89541298,22465125.999999985,0.07379526361939752
ETH,1963.0,21318421.5174686,1733215.4825313701,23051636.99999997,0.07518839041805891
ETH,1964.0,21853537.483001802,1813010.51699819,23666547.999999993,0.07660646229429786
ETH,1965.0,22413206.541488998,1897405.45851101,24310612.000000007,0.07804844479073622
ETH,1966.0,22968618.2676496,1984070.73235036,24952688.99999996,0.07951330344999544
ETH,1967.0,23545033.5462664,2075242.4537336,25620276.0,0.0810000038146974
ETH,1968.0,24164594.929435503,2173335.07056451,26337930.00000001,0.08251730756990047
ETH,1969.0,24796459.1399478,2276111.86005223,27072571.00000003,0.0840744626748685
ETH,1970.0,25444974.2088104,2384153.7911895597,27829127.99999996,0.08567116408353015
ETH,1971.0,26103113.492402002,2496992.50759796,28600105.999999963,0.08730710674981286
ETH,1972.0,26760797.0531263,2613810.9468737096,29374608.00000001,0.08898198562764509
ETH,1973.0,27430793.4816258,2735991.51837417,30166784.99999997,0.09069549567095642
ETH,1974.0,28095355.7103034,2861917.28969663,30957273.00000003,0.09244733183367371
ETH,1975.0,28733741.903369397,2989510.09663058,31723251.999999978,0.09423718906972658
ETH,1976.0,29409006.8671861,3125411.13281387,32534417.99999997,0.0960647623330429
ETH,1977.0,29919209.4583713,3248062.54162869,33167271.99999999,0.09792974657755063
ETH,1978.0,30366805.718386002,3367786.2816140302,33734592.00000003,0.09983183675717872
ETH,1979.0,30754159.4661838,3484492.53381617,34238651.99999997,0.10177072782585521
ETH,1980.0,30856689.4363141,3571824.56368594,34428514.00000004,0.10374611473750904
ETH,1981.0,31570341.1567917,3733670.84320829,35304011.999999985,0.10575769244606793
ETH,1982.0,32744701.7096185,3956588.29038154,36701290.000000045,0.10780515590546096
