 ISO3_Code , Category , Year , Pop , Pop_Rel 
 LBR , Rural ," 1,953 "," 834,189 ", 1 
 LBR , Urban ," 1,953 "," 140,187 ", 0 
 LSO , Rural ," 1,953 "," 603,046 ", 1 
 LSO , Urban ," 1,953 "," 11,428 ", 0 
 MDG , Rural ," 1,953 "," 3,896,438 ", 1 
 MDG , Urban ," 1,953 "," 371,097 ", 0 
 MLI , Rural ," 1,953 "," 4,659,302 ", 1 
 MLI , Urban ," 1,953 "," 245,498 ", 0 
 MOZ , Rural ," 1,953 "," 5,968,391 ", 1 
 MOZ , Urban ," 1,953 "," 154,727 ", 0 
 MRT , Rural ," 1,953 "," 675,485 ", 1 
 MRT , Urban ," 1,953 "," 23,905 ", 0 
 MUS , Rural ," 1,953 "," 368,801 ", 1 
 MUS , Urban ," 1,953 "," 203,119 ", 0 
 MWI , Rural ," 1,953 "," 3,007,162 ", 1 
 MWI , Urban ," 1,953 "," 112,073 ", 0 
 NAM , Rural ," 1,953 "," 439,385 ", 1 
 NAM , Urban ," 1,953 "," 93,845 ", 0 
 NER , Rural ," 1,953 "," 2,709,443 ", 1 
 NER , Urban ," 1,953 "," 149,749 ", 0 
 NGA , Rural ," 1,953 "," 35,117,233 ", 1 
 NGA , Urban ," 1,953 "," 4,322,587 ", 0 
 RWA , Rural ," 1,953 "," 2,349,239 ", 1 
 RWA , Urban ," 1,953 "," 49,121 ", 0 
 SDN , Rural ," 1,953 "," 6,248,295 ", 1 
 SDN , Urban ," 1,953 "," 517,610 ", 0 
 SEN , Rural ," 1,953 "," 2,153,624 ", 1 
 SEN , Urban ," 1,953 "," 603,942 ", 0 
 SLE , Rural ," 1,953 "," 1,783,985 ", 1 
 SLE , Urban ," 1,953 "," 286,825 ", 0 
 SOM , Rural ," 1,953 "," 2,062,263 ", 1 
 SOM , Urban ," 1,953 "," 341,307 ", 0 
 SSA , Rural ," 1,953 "," 171,728,183 ", 1 
 SSA , Urban ," 1,953 "," 23,488,980 ", 0 
 SSD , Rural ," 1,953 "," 2,395,440 ", 1 
 SSD , Urban ," 1,953 "," 216,293 ", 0 
 STP , Rural ," 1,953 "," 54,773 ", 1 
 STP , Urban ," 1,953 "," 8,554 ", 0 
 SWZ , Rural ," 1,953 "," 287,401 ", 1 
 SWZ , Urban ," 1,953 "," 5,337 ", 0 
 SYC , Rural ," 1,953 "," 28,528 ", 1 
 SYC , Urban ," 1,953 "," 10,784 ", 0 
 TCD , Rural ," 1,953 "," 2,535,416 ", 1 
 TCD , Urban ," 1,953 "," 128,354 ", 0 
 TGO , Rural ," 1,953 "," 1,362,299 ", 1 
 TGO , Urban ," 1,953 "," 113,772 ", 0 
 TZA , Rural ," 1,953 "," 7,857,862 ", 1 
 TZA , Urban ," 1,953 "," 355,252 ", 0 
 UGA , Rural ," 1,953 "," 6,030,379 ", 1 
 UGA , Urban ," 1,953 "," 219,056 ", 0 
 ZAF , Rural ," 1,953 "," 7,799,452 ", 1 
 ZAF , Urban ," 1,953 "," 6,093,458 ", 0 
 ZMB , Rural ," 1,953 "," 2,231,891 ", 1 
 ZMB , Urban ," 1,953 "," 311,647 ", 0 
 ZWE , Rural ," 1,953 "," 2,732,277 ", 1 
 ZWE , Urban ," 1,953 "," 334,889 ", 0 
 AFE , Rural ," 1,954 "," 97,881,413 ", 1 
 AFE , Urban ," 1,954 "," 14,901,378 ", 0 
 AFW , Rural ," 1,954 "," 76,841,901 ", 1 
 AFW , Urban ," 1,954 "," 9,727,186 ", 0 
 AGO , Rural ," 1,954 "," 4,396,787 ", 1 
 AGO , Urban ," 1,954 "," 369,930 ", 0 
 BDI , Rural ," 1,954 "," 2,420,547 ", 1 
 BDI , Urban ," 1,954 "," 34,039 ", 0 
 BEN , Rural ," 1,954 "," 2,153,242 ", 1 
 BEN , Urban ," 1,954 "," 175,540 ", 0 
 BFA , Rural ," 1,954 "," 4,211,930 ", 1 
 BFA , Urban ," 1,954 "," 201,946 ", 0 
 BWA , Rural ," 1,954 "," 441,573 ", 1 
 BWA , Urban ," 1,954 "," 12,470 ", 0 
 CAF , Rural ," 1,954 "," 1,268,255 ", 1 
 CAF , Urban ," 1,954 "," 265,502 ", 0 
 CIV , Rural ," 1,954 "," 2,677,315 ", 1 
 CIV , Urban ," 1,954 "," 371,222 ", 0 
 CMR , Rural ," 1,954 "," 4,076,008 ", 1 
 CMR , Urban ," 1,954 "," 540,878 ", 0 
 COD , Rural ," 1,954 "," 10,442,011 ", 1 
 COD , Urban ," 1,954 "," 2,901,020 ", 0 
 COG , Rural ," 1,954 "," 603,188 ", 1 
 COG , Urban ," 1,954 "," 309,829 ", 0 
 COM , Rural ," 1,954 "," 160,241 ", 1 
 COM , Urban ," 1,954 "," 15,897 ", 0 
 CPV , Rural ," 1,954 "," 180,824 ", 1 
 CPV , Urban ," 1,954 "," 12,724 ", 0 
 ERI , Rural ," 1,954 "," 796,017 ", 1 
 ERI , Urban ," 1,954 "," 74,004 ", 0 
 ETH , Rural ," 1,954 "," 17,825,837 ", 1 
 ETH , Urban ," 1,954 "," 1,212,198 ", 0 
 GAB , Rural ," 1,954 "," 428,847 ", 1 
 GAB , Urban ," 1,954 "," 56,304 ", 0 
 GHA , Rural ," 1,954 "," 4,671,469 ", 1 
 GHA , Urban ," 1,954 "," 1,057,959 ", 0 
 GIN , Rural ," 1,954 "," 2,947,773 ", 1 
 GIN , Urban ," 1,954 "," 266,787 ", 0 
 GMB , Rural ," 1,954 "," 304,912 ", 1 
 GMB , Urban ," 1,954 "," 34,900 ", 0 
 GNB , Rural ," 1,954 "," 495,972 ", 1 
 GNB , Urban ," 1,954 "," 65,006 ", 0 
 GNQ , Rural ," 1,954 "," 192,520 ", 1 
 GNQ , Urban ," 1,954 "," 50,455 ", 0 
 KEN , Rural ," 1,954 "," 5,909,374 ", 1 
 KEN , Urban ," 1,954 "," 438,767 ", 0 
 LBR , Rural ," 1,954 "," 846,150 ", 1 
 LBR , Urban ," 1,954 "," 148,619 ", 0 
 LSO , Rural ," 1,954 "," 615,742 ", 1 
 LSO , Urban ," 1,954 "," 12,152 ", 0 
 MDG , Rural ," 1,954 "," 3,983,533 ", 1 
 MDG , Urban ," 1,954 "," 393,786 ", 0 
 MLI , Rural ," 1,954 "," 4,712,555 ", 1 
 MLI , Urban ," 1,954 "," 260,355 ", 0 
 MOZ , Rural ," 1,954 "," 6,033,714 ", 1 
 MOZ , Urban ," 1,954 "," 163,264 ", 0 
 MRT , Rural ," 1,954 "," 687,584 ", 1 
 MRT , Urban ," 1,954 "," 27,088 ", 0 
 MUS , Rural ," 1,954 "," 373,881 ", 1 
 MUS , Urban ," 1,954 "," 211,598 ", 0 
 MWI , Rural ," 1,954 "," 3,065,953 ", 1 
 MWI , Urban ," 1,954 "," 115,576 ", 0 
 NAM , Rural ," 1,954 "," 439,835 ", 1 
 NAM , Urban ," 1,954 "," 100,180 ", 0 
 NER , Rural ," 1,954 "," 2,791,077 ", 1 
 NER , Urban ," 1,954 "," 155,807 ", 0 
 NGA , Rural ," 1,954 "," 35,628,207 ", 1 
 NGA , Urban ," 1,954 "," 4,548,117 ", 0 
 RWA , Rural ," 1,954 "," 2,429,164 ", 1 
 RWA , Urban ," 1,954 "," 52,958 ", 0 
 SDN , Rural ," 1,954 "," 6,395,105 ", 1 
 SDN , Urban ," 1,954 "," 574,531 ", 0 
