ISO_A3,ghsl_year,ghsl_type,flood_type,climate_scenario,return_period,fathom_year,ftm3_ghsl_total_built_s_km2,ftm3_ghsl_new_built_s_km2,ftm3_ghsl_rate_built_s_%
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in100,2080,53.524216,1.230792000000001,0.0007757527399554
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2030,0.7816494375,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2050,0.8392981875,0.0576487499999999,0.003564322200287
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP1_2.6,1in5,2080,0.8668035,0.0275053124999999,0.001075453083567
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2030,3.84113875,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2050,4.717372,0.8762332500000003,0.0103271099320123
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in10,2080,5.6612595,0.9438874999999998,0.0060983372403069
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2030,50.304992,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2050,55.275512,4.9705200000000005,0.0047223991842451
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in100,2080,60.206,4.930488000000004,0.0028521271188819
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2030,0.786489625,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP2_4.5,1in5,2050,0.917146875,0.13065725,0.0077140056822169
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2030,3.84846025,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2050,4.899144,1.0506837499999997,0.0121424968702799
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in10,2080,6.728329,1.829185,0.0106316629088227
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2030,50.330816,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2050,56.069,5.738184000000004,0.0054128740258012
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in100,2080,67.125888,11.056888,0.0060175902763233
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2030,0.7881586875,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2050,0.9556816875,0.1675230000000001,0.0096828506192463
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP3_7.0,1in5,2080,1.377553,0.4218713125,0.0122625466850772
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2030,3.93848875,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2050,5.3548345,1.41634575,0.0154787089059809
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in10,2080,7.8475225,2.492688,0.0128214346846129
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2030,50.739648,,
BFA,2020,built_s,FLUVIAL_PLUVIAL_DEFENDED,SSP5_8.5,1in100,2050,58.893688,8.154039999999995,0.007479145300109
